  1 1  1  H 0
  2 1 18 He 0
  3 2  1 Li 0
  4 2  2 Be 0
  5 2 13  B 0
  6 2 14  C 0
  7 2 15  N 0
  8 2 16  O 0
  9 2 17  F 0
 10 2 18 Ne 0
 11 3  1 Na 0
 12 3  2 Mg 0
 13 3 13 Al 0
 14 3 14 Si 0
 15 3 15  P 0
 16 3 16  S 0
 17 3 17 Cl 0
 18 3 18 Ar 0
 19 4  1  K 0
 20 4  2 Ca 0
 21 4  3 Sc 0
 22 4  4 Ti 0
 23 4  5  V 0
 24 4  6 Cr 0
 25 4  7 Mn 0
 26 4  8 Fe 0
 27 4  9 Co 0
 28 4 10 Ni 0
 29 4 11 Cu 0
 30 4 12 Zn 0
 31 4 13 Ga 0
 32 4 14 Ge 0
 33 4 15 As 0
 34 4 16 Se 1
  K 12658.0 Y 11222.4
 35 4 17 Br 1
  K 13474.0 Y 11924.2
 36 4 18 Kr 1
  K 14326.0 Y 12649.0
 37 5  1 Rb 1
  K 15200.0 Y 13395.3
 38 5  2 Sr 1
  K 16105.0 Y 14165.0
 39 5  3  Y 0
 40 5  4 Zr 0
 41 5  5 Nb 0
 42 5  6 Mo 0
 43 5  7 Tc 0
 44 5  8 Ru 0
 45 5  9 Rh 0
 46 5 10 Pd 0
 47 5 11 Ag 0
 48 5 12 Cd 0
 49 5 13 In 0
 50 5 14 Sn 0
 51 5 15 Sb 0
 52 5 16 Te 0
 53 5 17  I 0
 54 5 18 Xe 0
 55 6  1 Cs 0
 56 6  2 Ba 0
 57 6  3 La 0
 58 8  3 Ce 0
 59 8  4 Pr 0
 60 8  5 Nd 0
 61 8  6 Pm 0
 62 8  7 Sm 0
 63 8  8 Eu 0
 64 8  9 Gd 0
 65 8 10 Tb 0
 66 8 11 Dy 0
 67 8 12 Ho 0
 68 8 13 Er 0
 69 8 14 Tm 0
 70 8 15 Yb 0
 71 8 16 Lu 0
 72 6  4 Hf 0
 73 6  5 Ta 0
 74 6  6  W 0
 75 6  7 Re 1
 L1 12527.0 Y 11685.4
 76 6  8 Os 1
 L1 12968.0 Y 12095.3
 77 6  9 Ir 2
 L1 13419.0 Y 12512.6
 L2 12824.0 Y 10708.3
 78 6 10 Pt 2
 L1 13880.0 Y 12942.0 
 L2 13273.0 Y 11070.7 
 79 6 11 Au 2
 L1 14353.0 Y 13381.7
 L2 13734.0 Y 11442.3
 80 6 12 Hg 2
 L1 14839.0 Y 13830.1 
 L2 14209.0 Y 11822.6 
 81 6 13 Tl 3
 L1 15347.0 Y 14291.5
 L2 14698.0 Y 12213.3
 L3 12658.0 Y 10268.5
 82 6 14 Pb 3
 L1 15861.0 Y 14764.4
 L2 15200.0 Y 12613.7
 L3 13035.0 Y 10551.5
 83 6 15 Bi 3
 L1 16388.0 Y 15247.7
 L2 15711.0 Y 13023.5
 L3 13419.0 Y 10838.8
 84 6 16 Po 3
 L1 16939.0 Y 15744.0
 L2 16244.0 Y 13447.0
 L3 13814.0 Y 11130.8
 85 6 17 At 2
 L2 16785.0 Y 13876.0
 L3 14214.0 Y 11426.8
 86 6 18 Rn 1
 L3 14619.0 Y 11727.0
 87 7  1 Fr 1
 L3 15031.0 Y 12031.3
 88 7  2 Ra 1
 L3 15444.0 Y 12339.7
 89 7  3 Ac 1
 L3 15871.0 Y 12652.0
 90 9  3 Th 1
 L3 16300.0 Y 12968.7
 91 9  4 Pa 1
 L3 16733.0 Y 13290.7
 92 9  5  U 0
